"","State","state.counts"
"1","Alabama",8
"2","Alaska",2
"3","Arizona",25
"4","Arkansas",4
"5","California",74
"6","Colorado",12
"7","Connecticut",1
"8","Delaware",2
"9","District of Columbia",1
"10","Florida",29
"11","Georgia",16
"12","Hawaii",4
"13","Idaho",4
"14","Illinois",11
"15","Indiana",8
"16","Iowa",2
"17","Kansas",6
"18","Kentucky",7
"19","Louisiana",10
"20","Maine",1
"21","Maryland",10
"22","Massachusetts",5
"23","Michigan",9
"24","Minnesota",6
"25","Mississippi",6
"26","Missouri",10
"27","Montana",2
"28","Nebraska",6
"29","Nevada",3
"30","New Hampshire",1
"31","New Jersey",11
"32","New Mexico",5
"33","New York",13
"34","North Carolina",10
"35","Ohio",9
"36","Oklahoma",22
"37","Oregon",8
"38","Pennsylvania",7
"39","South Carolina",9
"40","Tennessee",6
"41","Texas",47
"42","Utah",5
"43","Virginia",9
"44","Washington",11
"45","West Virginia",2
"46","Wisconsin",5
"47","Wyoming",1
