"","age","state_abbrev","State","County","latitude","longitude","region","h_income","county_bucket","nat_bucket","urate","TotalPop","Black","nonblack_perc","Poverty","ChildPoverty","Service","Construction","Drive","Transit","PrivateWork","SelfEmployed","was.shot","is.black.binary"
"1",55,"AL","Alabama","Baldwin",30.8661098,-87.880188,"South",48173,3,3,0.073079325,7455,13.6,86.4,6.5,7,15.5,10.2,89.5,0,79.4,2.4,"Yes",0
"2",17,"AL","Alabama","Elmore",32.529577,-86.362829,"South",51367,3,3,0.097686375,3845,26.6,73.4,16.2,27.1,22.5,11.2,81.2,0,71.5,6.5,"Yes",1
"3",74,"AL","Alabama","Jefferson",33.5637512,-86.7238083,"South",23977,1,1,0.145048815,3795,76.4,23.6,42.6,60.4,32.4,7,65.7,1.4,86.8,2.3,"Yes",1
"4",39,"AL","Alabama","Jefferson",33.4814291,-86.8241706,"South",35780,2,2,0.052918942,3441,21.1,78.9,22.9,23.3,31.5,8.5,82.8,2,86.2,2.7,"Yes",1
"5",54,"AL","Alabama","Jefferson",33.4149311,-86.8515567,"South",81996,5,5,0.035916061,4976,0.2,99.8,0.9,0.5,10.5,6.8,85.3,0,71.5,2.5,"Yes",0
"6",40,"AL","Alabama","Lawrence",34.5668413,-87.2866505,"South",38078,3,2,0.168279344,5677,2.2,97.8,22.2,20.3,19.5,16.3,90.5,0,77.6,8,"Yes",0
"7",37,"AL","Alabama","Madison",34.6168404,-86.5641098,"South",57935,3,4,0.063658099,6367,4.4,95.6,10.3,7.5,17.2,6.2,93,0,81,3.8,"Yes",1
"8",47,"AL","Alabama","Tallapoosa",32.864521,-85.7209778,"South",36694,3,2,0.078163166,4551,31.8,68.2,23.7,41.9,19.1,12.4,78.8,1.9,63.6,12.2,"Yes",0
"9",34,"AK","Alaska","Anchorage Municipality",61.218408,-149.858016,"West",41268,1,2,0.129310345,5501,11.5,88.5,26.5,36,33,5.4,63,4.1,81.8,5.9,"No",0
"10",34,"AK","Alaska","Anchorage Municipality",61.2075577,-149.8582001,"West",51445,1,3,0.096503497,3225,15.3,84.7,16.7,36,18.2,10.7,64.5,1,62.8,9.4,"Yes",0
"11",25,"AZ","Arizona","Apache",36.4117088,-109.25,"West",24637,2,1,0.262736536,5916,0.4,99.6,46.6,54.9,31.1,12.8,53.6,0.3,39.6,2.4,"Yes",0
"12",41,"AZ","Arizona","Apache",34.1133387,-109.2914933,"West",47821,5,3,0.059301769,5201,0.5,99.5,22.1,33.2,33.8,16,71.4,0,66.3,8.9,"Yes",0
"13",52,"AZ","Arizona","Cochise",31.3995342,-109.9178085,"West",36442,2,2,0.103244838,2955,0.4,99.6,26.5,47.4,22.7,4.5,73.2,0,55.8,7.5,"Yes",0
"14",30,"AZ","Arizona","Greenlee",33.0515518,-109.3249283,"West",60670,3,4,0.107042254,3484,1.8,98.2,8.2,6.9,11,26.1,85.3,0,87.9,1.5,"Yes",0
"15",50,"AZ","Arizona","Maricopa",33.5812721,-112.2033386,"West",34219,1,1,0.104332953,3212,6.1,93.9,16.8,24.3,28.1,14.6,84.4,5.6,83.8,0.7,"Yes",0
"16",64,"AZ","Arizona","Maricopa",33.5838023,-112.2006413,"West",55133,3,3,0.05121876,6031,7.2,92.8,8.2,17.6,18.4,11.9,75.3,5.2,79.9,5.6,"Yes",0
"17",27,"AZ","Arizona","Maricopa",33.4962463,-112.1153488,"West",17699,1,1,0.206933333,4963,9.7,90.3,49.9,64.9,34.7,18.4,52.8,17.8,89.9,3.3,"Yes",0
"18",44,"AZ","Arizona","Maricopa",33.4802603,-112.0388203,"West",27066,1,1,0.12,3395,6.3,93.7,35,50.4,30.7,16.2,69.4,4.3,79.3,14.2,"Yes",0
"19",30,"AZ","Arizona","Maricopa",33.4693799,-112.0433197,"West",20833,1,1,0.073651452,4735,1.9,98.1,45.4,62.4,44.4,12.7,66.1,11.7,80.5,12.2,"Yes",0
"20",29,"AZ","Arizona","Maricopa",33.3781938,-111.978452,"West",35524,2,2,0.149219467,4621,13,87,41.3,65,20.2,10,70.7,8.8,83.4,0.8,"Yes",0
"21",29,"AZ","Arizona","Maricopa",33.3781938,-111.978452,"West",35524,2,2,0.149219467,4621,13,87,41.3,65,20.2,10,70.7,8.8,83.4,0.8,"Yes",0
"22",43,"AZ","Arizona","Maricopa",33.50943,-111.9087198,"West",52038,3,3,0.024411135,4884,0,100,11.4,8.1,12.9,1.3,85.5,0,80.2,10.6,"Yes",1
"23",26,"AZ","Arizona","Maricopa",33.4402203,-111.9308198,"West",44097,2,2,0.059773829,2776,2.5,97.5,20.4,3,17.6,7,76.5,3.2,78.4,5,"Yes",0
"24",34,"AZ","Arizona","Maricopa",33.3896023,-111.8006046,"West",52661,3,3,0.118041583,4779,2,98,14.9,14,35.5,6,76.4,3.4,78.5,4.4,"Yes",0
"25",23,"AZ","Arizona","Maricopa",33.3269806,-111.8252487,"West",53346,3,3,0.069218871,4449,3.3,96.7,12.7,13.7,17.6,7.8,84.6,1.8,86.2,3,"Yes",0
